BANANA REPUBLIC;Expenses|Clothes|BananaRepublic
KHANSAMA;Expenses|Dining|Indian|Khansama
TOP-UP TO PAYLAH!;Expenses|ATM
POS NISARGA;Expenses|Groceries|Beside-Murugan
PURE TRIM;Expenses|Beauty|Haircut|PureTrim
SINGAPOREAIR;OneTimeExpenses|Trips|FillDetails
HOTELS.COM;OneTimeExpenses|Trips|FillDetails
CAPITOL OPTICAL;Expenses|Medical|Specs|Capitol
NWL ;Expenses|ATM
CUPS N CAN;Expenses|Dining|Italian|Cups&Canvas
0455880-WE;Expenses|Misc
0478731CSQ;Expenses|Dining|Misc
7-ELEVEN;Expenses|Groceries|7-11
ANANDA BHA;Expenses|Dining|SouthIndian|AnandBhavan
ANDERSEN'S OF DENMARK SINGAPORE SG;Expenses|Dining|Icecream|Andersons
ANJAPPAR;Expenses|Dining|SouthIndian|Anjappar
ATM Withdrawal Fee;Expenses|Misc
BAJA FRESH;Expenses|Dining|Mexican|BajaFresh
BEST DENKI;Expenses|Electronics|BEST
Bill Payment CCC -376215425941002;Transfer|Liabilities|KrisFlyer
Bill Payment CCC -4119110090937209;Transfer|Liabilities|DbsAltitude
BILL DBSC-4119110090937209;Transfer|Liabilities|DbsAltitude
Bill Payment SPS -8927935158;Expenses|Utilities
BOBBY'S TAPROOM.GRILL.R;Expenses|Dining|Drinks&Grill|BobbysTaproom
UNIQLO;Expenses|Clothes|Uniqlo
BOSSINI;Expenses|Clothes|Bossini
CAFE SALIVATION;Expenses|Dining|IndoChinese|CafeSalivation
CAFFE B;Expenses|Dining|Coffee|CaffeB
THE COFFEE BEAN;Expenses|Dining|Coffee|CB&TL
CARD ANNUAL FEE;Expenses|Misc
Cash Withdrawal;Expenses|ATM
CATHAY CINELEISURE;Expenses|Movies
CE LA VI;Expenses|Dining|Drinks&Grill|CeLaVi
CEDELE;Expenses|Dining|Bakery|Cedele
CELIO;Expenses|Clothes|Celio
CENTRAL LA;Expenses|Beauty|La Viva
CHARLES & KEITH;Expenses|Accessories|C&K
CHARLES &;Expenses|Accessories|C&K
CITY BLUE;Expenses|Beauty|CityBlue
COCOA & CO;Expenses|Dining|Coffee|Cocoa&Co
COCOA COLONY;Expenses|Dining|Bakery|CocoaColony
COMFORT TR;Expenses|Taxi|ComfortTR
COSTA COFFEE;Expenses|Dining|Coffee|Costa
COTTON ON;Expenses|Clothes|CottonOn
DAISO;Expenses|Groceries|Household|Daiso
JAPAN HOME;Expenses|Groceries|Household|JapanHome
DPAYAXS STATION;OneTimeExpenses|Flights
E2 LINGERI;Expenses|Clothes|Misc
FAIRPRICE;Expenses|Groceries|Fairprice
FEDEX;Expenses|Misc
FIFTH SEASON SINGAPORE;Expenses|Dining|IndoChinese|FifthSeason
Funds Transfer 100-008673-0;Transfer|Assets|eMultiCurrencyAccount
Funds Transfer 120-044820-4;Transfer|Assets|MultiplierAccount
Funds Transfer I-BANK                             NAVYA;Transfer|OneTimeExpenses|Flights
GAZELLE EN;Expenses|Misc
GIORDANO;Expenses|Clothes|Giordano
GIRO CITIBANK;Transfer|Expenses|Medical|CignaReimburse
GIRO IRAS;OneTimeExpenses|Tax
GLOBAL SPICE GARDEN;Expenses|Dining|Indian|SpiceGarden
GOLDEN VILLAGE;Expenses|Movies
GROUPON;Expenses|Groupon
GST;Expenses|Misc
GV CITY SQUARE;Expenses|Movies
H&M;Expenses|Clothes|H&M
HAAGEN-DAZS;Expenses|Dining|Icecream|HagenDaz
HARD ROCK CAFE;Expenses|Dining|Drinks&Grill|HRC
HL ASSURANCE;Expenses|Insurance|Travel
HONESTBEE.COM;Expenses|Groceries|Online|Honestbee
HYDERABAD DUTY FREE RETAIL LIMITED;Expenses|Accessories|Perfume
IN SPRING @ NEX SINGAPORE SG;Expenses|Clothes|InSpring
INTERNATIONAL O&G;Expenses|Medical|O&G
ISA DESIGN SINGAPORE;Expenses|Clothes|IsaDesign
ISETAN;Expenses|Groceries|Household|ISetan
JAY GEE EN;Expenses|Clothes|JayGee
JEAN YIP S;Expenses|Beauty|Haircut|JeanYip
JETSTAR;OneTimeExpenses|Flights
JOE & DOUGH;Expenses|Dining|Coffee|Joe&Dough
JRUNWAY;Expenses|Clothes|JRunway
KAILASH PA;Expenses|Dining|Indian|KailashParbat
KAVITHA BR;Expenses|Groceries|Kavitha
KIMAGE SAL;Expenses|Beauty|Haircut|Kimage
LACOSTE VIVOCITY ;Expenses|Clothes|Lacoste
LOVELIFE V;Expenses|Dining|Juices
LOVISA SIN;Expenses|Beauty|Lovisa
M & S - VIVO CITY;Expenses|Clothes|Marks&Spen
MACH PHOTO;OneTimeExpenses|Gifts|M-Bday-2015
MANAS FOOD;Expenses|Dining|SouthIndian|SarvanaBhavan
MANGO BUGIS;Expenses|Clothes|Mango
MARCHE;Expenses|Dining|Italian|Marche
MAZZEH;Expenses|Dining|Mediterranean|Shiraz
MEALTASH P;Expenses|Dining|Indian|BikanerExpress
METRO - CITY SQUARE;Expenses|Clothes|Metro
MOHAMED MU;Expenses|Groceries|Mustafa
MOHD M S;Expenses|Groceries|Mustafa
MOHD MUSTAFA & SAMSUDD;Expenses|Groceries|Mustafa
MOHD MUSTAFA-ELECTRONIC SINGAPORE;Expenses|Electronics|Mustafa
MUCHOS;Expenses|Dining|Mexican|Muchos
MUSTAFA;Expenses|Groceries|Mustafa
NANDO'S;Expenses|Dining|Mexican|Nandos
NATIONAL L;Expenses|Hobbies|Library
NETFLIX;Expenses|Subscriptions|Netflix
NEW LOOK;Expenses|Clothes|NewLook
NTUC FAIRP;Expenses|Groceries|Fairprice
NTUC FP;Expenses|Groceries|Fairprice
OCTO JET B;Expenses|Misc
OGAWA;Expenses|Misc|MassageChair
Outward Telegraphic Transfer;INR-Remit-Transfer|Assets|YesBank
PAPA PALHE;Expenses|Dining|Coffee|PapaPalhe
PARIS BAGU;Expenses|Dining|Bakery|ParisCafe
PASTAMATRI;Expenses|Dining|Italian|PastaMania
PAT'S OVEN;Expenses|Dining|Bakery|PatsOven
PAYMENT BY TELEPHONE/INTERNETBANKING;Transfer|Assets|eSavingsAccount
PIND BALLUCHI;Expenses|Dining|Indian|PindBalucchi
PITA PAN;Expenses|Dining|Mediterranean|PitPan
A K MANAGE;Expenses|Dining|Mediterranean|PitPan
PIZZA HUT;Expenses|Dining|Italian|PizzaHut
PEZZO PIZZA;Expenses|Dining|Italian|PezzoPizza
Q & M MEDI;Expenses|Medical|Q&M
Q&M MEDICAL;Expenses|Medical|Q&M
RAJ RESTAURANT;Expenses|Dining|Indian|RajRest
HOMELYRAJ;Expenses|Dining|Indian|RajRest
RAS THE ESSENCE OF;Expenses|Dining|Indian|Ras-ClarkeQuay
REFUND OF CARD ANNUAL FEE;Expenses|Misc
Remittance Transfer of Funds;Transfer|Expenses|Dining|OfficeReimburse
REVERSAL GST;Expenses|Misc
RWS - FOOD & BEV;Expenses|Dining|Drinks&Grill|RWS
Salary JOBLINE;Income|Garima
Salary PaymentRIDIK PTE. LTD;Income|Garima
Salary Payment RIDIK PTE. LTD;Income|Garima
Salary Payment JOBLINE;Income|Garima
Salary TOWER RESEARCH CAPIT;Income|Mayank
SAMANVAY;Expenses|Dining|SouthIndian|MTR
SANKRANTI SINGAPORE SG;Expenses|Dining|SouthIndian|Sankranti
SASCO SENIOR CITIZENS' SINGAPORE SG;Expenses|Charity|SASCO
SCMS2015;Expenses|Hobbies|Marathon|SCMS-2015
SENTOSA ONLINE STORE;Expenses|Recreation|BeachParty VIP Tickets
SHANGRI-LA'S RASA SENTO SINGAPORE;OneTimeExpenses|Gifts|M-Bday-2015
SHANTHINI;Expenses|Beauty|Shantini
SHIRAZ MAZZEH;Expenses|Dining|Mediterranean|Shiraz
SHISH MAHAL;Expenses|Dining|Indian|ShishMahal
SIMPLY WRA;Expenses|Dining|Wraps|SimplyWraps
SINGAPORE AVENUE KIDS;OneTimeExpenses|Gifts|Chaddha-Kid
SINGAPORE24133039640 SINGAPORE SG;Expenses|Misc
SKYPE;Expenses|Phone|Skype
SMRT TAXIS;Expenses|Taxi|SMRT
SMRT-NOV;Expenses|PublicTransportation
SPORTS LINK;Expenses|Clothes|Shoes
SRI MURUGA;Expenses|Groceries|Murugan
SS-SN;Expenses|Misc
STARBUCKS;Expenses|Dining|Coffee|Starbucks
STARHUB;Expenses|Phone|Starhub
SUBWAY;Expenses|Dining|Wraps|Subway
SWISSOTEL THE STAMFORD;Expenses|Dining|FineDining|JAAN
TANDOORI R;Expenses|Dining|Indian|Tandoori-Jalebi
TENG BESPOKE VEGETARIA;Expenses|Dining|Japenese|TengBespoke
THE ACTIVE NETWORK;Expenses|Hobbies|Marathon|Dualthon-2015
THE BODY S;Expenses|Groceries|Household|BodyShop
THE COFFEE BEAN&TEA;Expenses|Dining|Coffee|CB&TL
THE SOUP SPOON UNION;Expenses|Dining|Wraps|SoupSpoon
THOMSON ME;Expenses|Medical|ThomsonMedical
TIGERAIR;OneTimeExpenses|Flights
TIMBRE;Expenses|Dining|Drinks&Grill|Timbre
TRANS-CAB;Expenses|Taxi|TransCab
TRANSITLIN;Expenses|PublicTransportation
TULASI VEGETARIAN;Expenses|Dining|Indian|Tulasi
UBER;Expenses|Taxi|Uber
Uber;Expenses|Taxi|Uber
UOB:3013006456;OneTimeExpenses|Rent
WATSON'S;Expenses|Groceries|Household|Watsons
YANTRA SINGAPORE;Expenses|Dining|Buffet|Yantra
YISHION;Expenses|Clothes|Yishion
YOUNG GENE;Expenses|Misc
ZARA;Expenses|Clothes|Zara
MARINA BAY SANDS;Expenses|Recreation|Casino
CHINAAIRL;OneTimeExpenses|Flights
SPECTACLE HUT;Expenses|Medical|Specs
BAGZX;Expenses|Accessories|BagZX
GV CITY SQ;Expenses|Movies
METRO;Expenses|Clothes|Metro
MTR;Expenses|Dining|SouthIndian|MTR
PINT & CURRIES;Expenses|Dining|Indian|Pint&Curries
LISA PENNY FASHION;Expenses|Clothes|LisaPenny
LAZADA;Expenses|Shopping|Online|Lazada
SINGAPORE FOOD STREET;Expenses|Dining|Juices|SF
IKEA;Expenses|HomeDecor|IKEA
QOO10;Expenses|Electronics|Online|Qoo10
POH TIONG CHOON LOGISTICS;Expenses|HomeDecor|IKEA|Shipping
SF (PLAZA;Expenses|Dining|Juices|SF
EXPEDIA;OneTimeExpenses|Hotels
EASIBOOK.COM;OneTimeExpenses|Flights
AWFULLY CHOCOLATE;Expenses|Dining|Bakery|AwfullyChocolate
MCDONALD'S (IFLY);Expenses|Dining|FastFood|McD
AMAZON MKTPLACE PMTS;OneTimeExpenses|Gifts|G-Bday-2016
MARKTPLACE;Expenses|Groceries|Online|MarketPlace
COLD STORAGE;Expenses|Groceries|ColdStorage
FITNESS FIRST;Expenses|Hobbies|WorkOut|FitnessFirst
GNC @CITY;Expenses|Hobbies|Workout|ProteinSupplement
SATHISH TR;Expenses|Groceries|Sathish-LittleArcade
JOTHI STOR;Expenses|Groceries|Household|Jothi
SAL JOBLINE;Income|Garima
IBG IRAS;OneTimeExpenses|Tax
OTT;Transfer|Assets|YesBank
IBG CITIBANK;Transfer|Expenses|Medical|CignaReimburse
AWL;Expenses|ATM
BILL CCC -4119110090937209;Transfer|Liabilities|DbsAltitude
ICLINIQ.COM;Expenses|Medical|ICLINIQ
POPEYES;Expenses|Dining|FastFood|Popeyes
NEWSTEAD;Expenses|Electronics|Newstead
MURUGAN;Expenses|Groceries|Murugan
KEBAB SHAC;Expenses|Dining|Wraps|SHAC
SAL TOWER RESEARCH;Income|Mayank
GR PAY TOWER RESEARCH CAPIT SAL;Income|Mayank
UOB:3953053746;Transfer|Assets|UobOne
ITR 120-044820-4;Transfer|Assets|MultiplierAccount
OCBC:686249095001:I-BANK;Transfer|Assets|MoolahSense
207-46816-9;Expenses|Groceries|Online|MyMart
SCB:6429486285:I-BANK;Transfer|Assets|SGDStanChar
SGH - O&G;Expenses|Medical|SGH
W.C.CHENG & ASSOCIATES;Expenses|Medical|ThomsonMedical
BP TO SPS - 8927935158:IB;Expenses|Utilities
BP TO AMEX - 376215425941002:IB;Transfer|Liabilities|KrisFlyer
HANIS CAFE;Expenses|Dining|Coffee|Hanis
TSG KITCHEN;Expenses|Dining|Brunch|TSG-Kitchen
PASTA FRESCA DA SALVA;Expenses|Dining|Italian|PastaFresCa-ClarkeQuay
TWELVE CUPCAKES;Expenses|Dining|Bakery|12Cupcakes
BAANU RESTAURANT;Expenses|Dining|Indian|SpiceGarden
ICAC (SINGAPORE);Expenses|Medical|ICAC
GARRETT POPCORN;Expenses|Dining|Bakery|GarrettPopcorn
WILD HONEY;Expenses|Dining|Brunch|WildHoney
THE BANANA LEAF APOLO;Expenses|Dining|Indian|BananaLeaf
KKH CLINIC;Expenses|Medical|KKH
VANESSA BEAUTYCITY;Expenses|Beauty|VanessaBeautyCity
PAUL BAKERY;Expenses|Dining|Bakery|PaulBakery
AROMAS OF INDIA;Expenses|Dining|Indian|AromasOfIndia
PAEDIATRIC145791004182382026061808;Expenses|Medical|DrWong-MtElizabeth
DELIFRANCE;Expenses|Dining|Bakery|DeliFrance
BILL SPS -8927935158;Expenses|Utilities
BILL CCC -376215425941002;Transfer|Liabilities|KrisFlyer
POS ISKY TRADI;Expenses|Electronics|MiStore
D2P SAM 20160322175817691 US VISA FEE;Expenses|Misc|USVisaFees
MICROSOFT *STORE;Expenses|Subscriptions|MS-Office
MICROSOFT *OFFICE;Expenses|Subscriptions|MS-Office
GOOGLE STORAGE;Expenses|Subscriptions|GooglePhotos-Storage
COMFORT/CITYCAB;Expenses|Taxi|ComfortTR
ATINT Interest Earned;Income|Interest-SGD
GR PAY TOWER RESEARCH CAPIT SAL;Income|Mayank
ADV Remit Rebate;Income|Interest-SGD
OCBC:594323693001:I-BANK;Transfer|Assets|Ocbc
Mayank OCBC;Transfer|Assets|Ocbc
003-930453-6 : I-BANK;OneTimeExpenses|BrogaHill-Trip
033-0-071145 : I-BANK;Expenses|Recreation|SeaAquarium-TicketsX3
INT Preferential rate based on total;Income|Interest-SGD|BonusInterest-DBS
INT One Bonus Interest;Income|Interest-SGD|BonusInterest-UOB
1010 MOTHER & CHILD;Expenses|BabyCare|1010-MotherChild
S'PORE CABLE CAR HF;Expenses|Recreation|Cable Car Tickets
SINGAPORE2413303964 SINGAPORE SG;Transfer|OneTimeExpenses|Flights|SIN-KOL Reimburse
HAPPY TUMMY;Expenses|Dining|Wraps|HappyTummy
FFP ANNUAL FEE - Frequent Flyer Programme;OneTimeExpenses|Fees|DBS Flyer Program Fee
BK-WOODLANDS;Expenses|Dining|FastFood|BurgerKing
WALL-ST-JOURNAL;Expenses|Subscriptions|WallStreetJournal
IKEBAB PTE;Expenses|Dining|Wraps|iKebab
POS EPITEX INT;Expenses|Groceries|Household|Epitex-Beddings
IBG MOOLAHSENSE;Transfer|Assets|MoolahSense
POS TRANSIT LI;Expenses|PublicTransportation
VANESSA BE;Expenses|Beauty|VanessaBeautyCity
SINCERE MED SPC CTR;Expenses|Medical|AnnaLaxmi-Clinic
GUARDIAN;Expenses|Medical|Guardian
HARRY'S;Expenses|Dining|Drinks&Grill|Harry's
TEMT - PLAZA SINGAPURA;Expenses|Clothes|TEMT
TEMT PLAZA SINGAPURA;Expenses|Clothes|TEMT
SHAW THEATRES WATERWAY;Expenses|Movies
SHAW INTERNET;Expenses|Movies
SHAW CONCESSIONS;Expenses|Movies
INDIAN HOUSE BOAT QUAY;Expenses|Dining|Indian|IndianHouse
SENOR TACO;Expenses|Dining|Mexican|SenorTaco
DR TAN & PARTNERS SINGAPORE SG;Expenses|Medical|DrTan&Partners
SHABESTAN SINGAPORE;Expenses|Dining|Persian|Shabestan
SYNERGYINTHESKY;Expenses|Dining|Drinks&Grill|1Altitude
CELESTIAL SANCTUARY;Expenses|Recreation|Massage
SHAHI MAHARANI SINGAPORE;Expenses|Dining|Indian|ShahiMaharani
SALADSTOP!;Expenses|Dining|Wraps|SaladStop
TEMT - VIVO CITY;Expenses|Clothes|TEMT
RAFFLES MEDICAL;Expenses|Medical|RafflesMedical
GOING OM SINGAPORE;Expenses|Dining|Drinks&Grill|GoingOM
SKECHERS;Expenses|Clothes|Shoes|Skechers
ARMANI EXCHANGE @V SINGAPORE SG;Clothes|ArmaniExchange
DECATHLON SINGAPORE;Expenses|Misc-Shopping
OG-ALBERT CMPLX;Expenses|Misc-Shopping
STRICTLY PANCAKES PTE;Expenses|Dining|Brunch|StrictlyPancakes
Q&M MED & AESTHETIC;Expenses|Medical|Q&M
FORTYTWO PTE LTD SINGAPORE;Expenses|HomeDecor|Furniture|FortyTwo
DIN TAI FUNG;Expenses|Dining|Chinese|DinTaiFung
THE CHOP HOUSE;Expenses|Dining|Drinks&Grill|TheChopHouse
IORA ;Expenses|Clothes|Iora
RAREBITS ;Expenses|Clothes|RareBits
PITA BAKER;Expenses|Dining|Arabic|PitaBaker-HajiLane
GV SUNTEC CITY MALL SINGAPORE;Expenses|Movies
MCDONALD'S (PARK) SINGAPORE;Expenses|Dining|FastFood|McD
GV VIVOCITY SINGAPORE SG;Expenses|Movies
THE MIND CAFE;Expenses|Recreation|MindCafe
DELIVEROO;Expenses|Dining|Online|Deliveroo
ATTICA;Expenses|Dining|Drinks&Grill|Attica
MCDONALD'S;Expenses|Dining|FastFood|McD
JUICE BAR;Expenses|Dining|Juices|JuiceBar-CitySq
KLOOK;Expenses|Recreation|Online-Tickets
ZASS BOUTIQUE;Expenses|Clothes|ZassBoutique
TIMEZONE(CITY SQ);Expenses|Misc
CHALLENGER-CITY;Expenses|Groceries|Household|Challenger
BANANA TREE;Expenses|Dining|Bakery|BananaTree
PIZZERIA MOZZA SINGAPORE;Expenses|Dining|Italian|Mozza@MBS
BAR BAR BLACK SHEEP;Expenses|Dining|Drinks&Grill|BarBarBlackSheep
SINGAPORE HEART FOUND;Expenses|Charity|SingaporeHeartFoundation
SRI LUKSHM;Expenses|Dining|SouthIndian|SriLukshmi
REDMART SG;Expenses|Groceries|Online|RedMart
HOME-FIX D.I.Y STORE;Expenses|Groceries|Household|DIY-Store
VERVE MARINABAY;Expenses|Dining|Italian|Warehouse-ClarkeQuay
SANKRANTI;Expenses|Dining|SouthIndian|Sankranti
PIZZA FABBRICA;Expenses|Dining|Italian|PizzaFabbrica
SANOBAR;Expenses|Dining|Lebanese|MacDoner-BaghdadSt
ICE LAB;Expenses|Dining|Desserts|IceLab
PRIMA DELI;Expenses|Dining|Bakery|PrimaDeli
LEVIS BUGIS JUNCTION;Expenses|Clothes|Levis-Jeans
BHG DEPT STOREBUGIS;Expenses|Clothes|BHG-Bugis
POLAR PUFFS;Expenses|Dining|Bakery|PolarPuffs-Suntec
TRATTORIA CUCINA ITALI SINGAPORE;Expenses|Dining|Italian|Trattoria-Somerset
YO-GOOD SINGAPORE;Expenses|Dining|Bakery|YoGood
GRAB COM;Expenses|Taxi|Grab
ZALORA SG;Expenses|Clothes|Zalora
MAC @ BUGIS;Expenses|Beauty|Cosmetics|MacStore-Bugis
THE SONG OF INDIA;Expenses|Dining|Indian|TheSongOfIndia
RANG MAHAL RESTAURANT;Expenses|Dining|Indian|RangMahal
SHIVSAGAR;Expenses|Groceries|Online|ShivSagar
GASTRO NET;Expenses|Dining|Juices|GastroNet
RTF 0016RF5177704 TOWER;Transfer|Expenses|Dining|OfficeReimburse
POS CAFE GALIL;Expenses|Dining|Bakery|CafeGalil
THE COOKIE MUSEUM;Expenses|Dining|Bakery|TheCookieMuseum
MUZIUM CAFE;Expenses|Dining|Drinks&Grill|BlueJazz
JEWEL OF INDIA;Expenses|Dining|Indian|JewelOfIndia
PIZZAHUT;Expenses|Dining|Italian|PizzaHut
REDMART;Expenses|Groceries|Online|RedMart
GOOGLE *SERVICES;Expenses|Subscriptions|GooglePhotos-Storage
GNC @ CITY SQ SINGAPORE;Expenses|Groceries|GNC
WINGS BAR;Expenses|Dining|Drinks&Grill|WingsBar
RAJ PROVISION;Expenses|Groceries|Online|RajProvisions
MARK LOH PAEDIATRICS;Expenses|Medical|MyraDoc-MarkLoh
IRAS ITX;OneTimeExpenses|Tax
0016RF6212501 TOWER RESEARCH CAPIT;Transfer|Expenses|Dining|OfficeReimburse
INT  Interest Earned;Income|Interest-SGD
OCBC:5083054188:I-BANK;OneTimeExpenses|Rent
MOM - WPD;Expenses|Maid|Glenda|WorkPermit
PHOTOBOOK;Expenses|Misc
AMAZON SINGAPORE;Expenses|Groceries|Online|Amazon
SCOOT-TIG00000000Y18TH;OneTimeExpenses|Trips|India-2017-Diwali|Flights|LKO-SIN
TEXAS CHICKEN;Expenses|Dining|FastFood|TexasChicken
MOOLAHSENSE PRIVATE;Transfer|Assets|MoolahSense
KIDDY PALACE;Expenses|BabyCare|KiddyPalace-NEX
FIRST GOURMET PTE;Expenses|Dining|Indian|PrataWala
BP TO SPS - 8934675425;Expenses|Utilities
One Bonus Interest;Income|Interest-SGD|BonusInterest-UOB
THE NAIL;Expenses|Beauty|TheNailSalon
Misc DR-Debit CardENETS-HWA;Expenses|Charity|HWA
CardSAVH;Expenses|Charity|SAVH
BLU JAZ CAFE;Expenses|Dining|Mediterranean|BlueJazCafe
Interest Credit ;Income|Interest-SGD
MUMMYKIDZ;Expenses|BabyCare|MummyKidz
W C CHENG;Expenses|Medical|ThomsonMedical
ConsumerSING SOO S16179400;Expenses|Misc
W.C.CHENG;Expenses|Medical|ThomsonMedical
LAUNDRY QUEEN;Expenses|HomeDecor|LaundryQueen
CHALLENGER-CSM;Expenses|Electronics|Challenger
Cheque Withdrawal0066506;Expenses|HomeDecor|ProfessionalCleaning
FASTPIB1704011315835475;Expenses|Groceries|Household|Carousell|LaundryBasket
D & C - CITY SQ MA;Expenses|Clothes|Shoes|D&C
CITY NAILS;Expenses|Beauty|CityNails
SEVEN STAR13182800;Expenses|Misc
NIVA TIME;Expenses|Groceries|Household|NivaTime|WatchRepair
IGER AIRWA ACJ7WH;OneTimeExpenses|Flights
Cheque Withdrawal0066507;Expenses|Misc
SING SOO S16147200;Expenses|Misc
MARK LOH PAEDIATRIC;Expenses|Medical|MyraDoc-MarkLoh
Cheque Withdrawal006651;Expenses|Misc
MARK LOH;Expenses|Medical|MyraDoc-MarkLoh
SB-NH11191500;Expenses|Misc
JUMPEATCRY;Expenses|Clothes|Online|JumpEatCry
DEALZAPPERCOM;Expenses|Clothes|Online|DealZapper
HIGH STREETE;Expenses|Misc
One Bonus Interest;Income|Interest-SGD|BonusInterest-UOB
THE NAIL;Expenses|Beauty|TheNailSalon
Misc DR-Debit CardENETS-HWA;Expenses|Charity|HWA
CardSAVH;Expenses|Charity|SAVH
BLU JAZ CAFE;Expenses|Dining|Mediterranean|BlueJazCafe
Interest Credit ;Income|Interest-SGD
MUMMYKIDZ;Expenses|BabyCare|MummyKidz
W C CHENG;Expenses|Medical|ThomsonMedical
ConsumerSING SOO S16179400;Expenses|Misc
DBS VISA DEBIT CARD 5% CA SH 22AUG;Expenses|Misc
KFC PL;Expenses|Dining|FastFood|KFC
TOYS 'R' US;Expenses|BabyCare|ToysRUs
INTERFOCUS INC;xpenses|BabyCare|Patpat-Clothes
Misc CRDebit Card Lazada;Expenses|Clothes|Online|Lazada
EPITEX INT18517400;Expenses|Groceries|Household|Epitex-Beddings
FDW LEVY;Expenses|Maid|Glenda|LevyTax
RTF  0016RF6441823 TOWER RESEARCH CAPIT;Expenses|Dining|OfficeReimburse
ITR  120-044820-4 : I-BANK;Transfer|Assets|eSavingsAccount
IN2 KIDS;Expenses|BabyCare|In2Kids
BURGER KING;Expenses|Dining|FastFood|BurgerKing
FOX CITY SQUARE MALL;Expenses|BabyCare|FoxKids
Q & M DENTAL CENTRE;Expenses|Medical|Q&M
ROBINSONS;Expenses|Clothes|Robinsons
BARRIO BY MEX OUT;Expenses|Dining|Mexican|Barrio
BILL  CCC -376215425941002;Transfer|Liabilities|KrisFlyer
DBS VISA DEBIT CARD 5% CA SH 26SEP 4628-4500-1933-4938;Expenses|Misc
SINGAPORE ZOO-F&B;Expenses|Recreation|SingaporeZoo|Dining
BAZIN SINGAPORE;Expenses|Dining|Drinks&Grill|Bazin
EZLINK;Expenses|PublicTransportation
FOODBEV;Expenses|Misc
CANDYLICIOUS;Expenses|Misc-Shopping
Lazada;Expenses|Shopping|Online|Lazada
HOMEFIX;Expenses|Groceries|Household|DIY-Store
AVENTA;Expenses|Beauty|Aventa
MIRRAW.COM;Expenses|Clothes|Online|Mirraw
ITR  100-6-030264;Expenses|BabyCare|Myra-dress
BABYU INTERNATIONAL;Expenses|BabyCare|Myra-PhotoShoot
AMAZON PAY BANGALORE;Expenses|Shopping|Online|AmazonIndia
DBS VISA DEBIT CARD 5% CA SH;Expenses|Misc|CashBack
BILL DBSC-4119110092541249;Transfer|Liabilities|DbsAltitude
ADV TRF 100-4-048622;Transfer|Assets|eSavingsAccount
ATM CSH 19334938BUZZ WILKIE ED;Expenses|ATM
BILL SPS -8934675425;Expenses|Utilities
GR PAY CITIBANK IRELAND;Income|Mayank
TOYS'R'US;Expenses|BabyCare|ToysRUs
BOVE SINGAPORE;Expenses|BabyCare|Bove
IBG  CITIBANK IRELAND FINANCIAL SERVICES;Transfer|Expenses|Medical|CignaReimburse
PAYPAL *CLEVERBRIDG;Expenses|Misc
CHATERAISE CITY SQ;Expenses|Dining|Desserts|Chateraise
PAYPAL *FAMILYSTAYC 402935773;Expenses|Misc
MOLEY;Expenses|BabyCare|Moley-BabyClothes
SINGAPORE17372700;Expenses|Misc|PEP-Application-Fees|Singpost
WISH.COM 8002660172 CA;Expenses|Shopping|Online|Wish
GRAB ;Expenses|Taxi|Grab
SHOPEE - SINGAPORE;Expenses|BabyCare|Online|Shopee
PAYPAL *GOOGLE 2APPSTU;Expenses|Misc
GARDENS BY THE BAY-CAF;Expenses|Dining|Coffee|GardensByTheBayCafe
ARTISTRY HAIR STUDIO P;Expenses|Beauty|Haircut|Artistry
JCONE JIPANGYI;Expenses|Dining|Desserts|JCone-MerlionPark
MELLOWER COFFEE;Expenses|Dining|Coffee|Mellower
BHG DEPT STORE- BUGIS;Expenses|Clothes|BHG-Bugis
TEMT-BUGIS PLUS;Expenses|Clothes|Temt
PIZZAMARU - BUGIS+;Expenses|Dining|Korean|PizzaMaru
THE EDITOR'S MARKET;Expenses|Clothes|EditorsMarket
KRISPY KREME SG;Expenses|Dining|Desserts|KrispyCreme
AMAZONIA;Expenses|Recreation|IndoorPark|Amazonia
TRANSIT 30000278091372;Expenses|PublicTransportation
FAVECOM_SG;Expenses|Dining|Misc
AKEMI UCHI;Expenses|Dining|FastFood|Akemi-CheeseToast
URBAN ROTI-IND;Expenses|Dining|Indian|UrbanRoti
LEVI'S SUNTEC CITY;Expenses|Clothes|Levis
HLA GARMENT;Expenses|Clothes|HLA-Suntec
CURRY LEAF RESTAURANT;Expenses|Dining|Indian|CurryLeaf
TRANSIT 30000277082493;Expenses|PublicTransportation
TRANSIT 30000277082496;Expenses|PublicTransportation
PATRO'S MEXICAN & NORT;Expenses|Dining|Mexican|Patros-BoatQuay
TWG TEA COMPANY;Expenses|Dining|Coffee|TWG
MNH - A&E DEPARTMENT;Expenses|Medical|MountNovena-Emergency
CSHH COFFEE BAR;Expenses|Dining|Coffee|PapaPalheta
